iter	Passed	Remaining
798	5967	1501
799	5969	1492
800	5975	1484
801	5977	1475
802	5979	1466
803	5981	1458
804	5982	1449
805	5984	1440
806	5990	1432
807	5992	1423
808	5994	1415
809	5998	1407
810	5999	1398
811	6006	1390
812	6008	1382
813	6010	1373
814	6012	1364
815	6013	1356
816	6018	1348
817	6021	1339
818	6023	1331
819	6025	1322
820	6026	1314
821	6028	1305
822	6030	1296
823	6033	1288
824	6035	1280
825	6037	1271
826	6038	1263
827	6040	1254
828	6042	1246
829	6045	1238
830	6047	1229
831	6049	1221
832	6050	1213
833	6052	1204
834	6053	1196
835	6060	1188
836	6062	1180
837	6064	1172
838	6065	1164
839	6067	1155
840	6069	1147
841	6072	1139
842	6074	1131
843	6076	1123
844	6077	1114
845	6079	1106
846	6081	1098
847	6088	1091
848	6090	1083
849	6091	1074
850	6093	1066
851	6094	1058
852	6096	1050
853	6101	1043
854	6104	1035
855	6107	1027
856	6114	1020
857	6116	1012
858	6118	1004
859	6120	996
860	6122	988
861	6136	982
862	6138	974
863	6148	967
864	6150	959
865	6152	952
866	6155	944
867	6158	936
868	6162	929
869	6165	921
870	6174	914
871	6176	906
872	6179	898
873	6190	892
874	6192	884
875	6195	876
876	6197	869
877	6206	862
878	6209	854
879	6211	847
880	6221	840
881	6223	832
882	6225	824
883	6228	817
884	6238	810
885	6240	802
886	6242	795
887	6251	788
888	6254	780
889	6256	773
890	6259	765
891	6268	758
892	6270	751
893	6273	743
894	6277	736
895	6287	729
896	6290	722
897	6293	714
898	6302	708
899	6304	700
900	6307	693
901	6314	686
902	6319	678
903	6322	671
904	6331	664
905	6335	657
906	6337	649
907	6340	642
908	6343	635
909	6345	627
910	6347	620
911	6356	613
912	6359	606
913	6362	598
914	6364	591
915	6371	584
916	6373	576
917	6376	569
918	6389	563
919	6392	555
920	6394	548
921	6401	541
922	6404	534
923	6407	527
924	6409	519
925	6419	513
926	6422	505
927	6425	498
928	6427	491
929	6429	483
930	6432	476
931	6435	469
932	6447	463
933	6450	455
934	6464	449
935	6466	442
936	6475	435
937	6478	428
938	6481	421
939	6495	414
940	6497	407
941	6544	402
942	6547	395
943	6553	388
944	6556	381
945	6561	374
946	6563	367
947	6570	360
948	6573	353
949	6576	346
950	6588	339
951	6591	332
952	6593	325
953	6600	318
954	6602	311
955	6605	303
956	6609	296
957	6618	290
958	6620	283
959	6622	275
960	6625	268
961	6632	261
962	6635	254
963	6637	247
964	6640	240
965	6647	233
966	6649	226
967	6656	220
968	6663	213
969	6665	206
970	6667	199
971	6670	192
972	6672	185
973	6676	178
974	6678	171
975	6681	164
976	6683	157
977	6686	150
978	6714	144
979	6717	137
980	6720	130
981	6722	123
982	6724	116
983	6732	109
984	6735	102
985	6737	95
986	6740	88
987	6749	81
988	6752	75
989	6764	68
990	6770	61
991	6780	54
992	6782	47
993	6784	40
994	6787	34
995	6796	27
996	6798	20
997	6800	13
998	6802	6
999	6812	0
